name,retailPrice,customerPrice,qty,color,functional,box
Alcatel Idol 5s 6060X,398.08,411.59999999999997,278,Grey,Working,Boxed
Alcatel Idol Alpha 6032X,221.68,235.2,3,Grey,Working,Boxed
Alcatel Idol Alpha 6032X,221.68,235.2,3,Gold,Working,Boxed
Alcatel One Touch 2045X,57.04,70.55999999999999,3,Black,Working,Boxed
Alcatel One Touch 7048X,151.11999999999998,164.64,18,Red,Working,Boxed
Alcatel One Touch Idol Ultra,198.16,211.68,2,Black,Working,Boxed
Alcatel One Touch Pop 4 Plus,10.0,23.52,3,Silver,Working,Boxed
Alcatel OT-918,45.279999999999994,58.8,16,Black,Working,Boxed
Alcatel Pixi 4 (4),10.0,23.52,1,Black,Working,Boxed
Apple iPhone 5C 8GB,315.76,329.28,1,Blue,Working,Boxed
Apple iPhone 6 128GB,762.64,776.16,11,Gold,Working,Boxed
Apple iPhone 6 16GB,550.96,564.4799999999999,1,Silver,Working,Boxed
Apple iPhone 6 Plus 16GB,715.6,729.12,3,Silver,Working,Boxed
Apple iPhone 6S 16GB,668.56,682.0799999999999,2,Rose Gold,Working,Boxed
Apple iPhone 6S 64GB,833.1999999999999,846.72,14,Rose Gold,Working,Boxed
Apple iPhone 6S 64GB,833.1999999999999,846.72,1,Grey,Working,Boxed
Apple iPhone 6S Plus 16GB,739.12,752.64,5,Gold,Working,Boxed
Apple iPhone 6S Plus 32GB,880.2399999999999,893.7599999999999,2,Rose Gold,Working,Boxed
Apple iPhone 7 256GB,1233.04,1246.56,7,Rose Gold,Working,Boxed
Apple iPhone 7 256GB,1233.04,1246.56,1,Silver,Working,Boxed
Apple iPhone 7 256GB,1233.04,1246.56,2,Gold,Working,Boxed
Apple iPhone 7 Plus 128GB,1397.68,1411.2,50,Jet Black,Working,Boxed
Apple iPhone 7 Plus 256GB,1421.2,1434.7199999999998,20,Rose Gold,Working,Boxed
Apple iPhone 7 Plus 256GB,1421.2,1434.7199999999998,12,Silver,Working,Boxed
Apple iPhone 7 Plus 256GB,1421.2,1434.7199999999998,1,Black,Working,Boxed
Apple iPhone 7 Plus 256GB,1421.2,1434.7199999999998,8,Red,Working,Boxed
Apple iPhone 7 Plus 256GB,1421.2,1434.7199999999998,12,Gold,Working,Boxed
Asus Padfone 2 +tablet,233.43999999999997,246.95999999999998,2,Black,Working,Boxed
Asus Padfone Infinity +tablet,10.0,23.52,11,Grey,Working,Boxed
Doro 410,87.61599999999999,101.136,4,White,Working,Boxed
Doro 505,33.519999999999996,47.04,1,Black,Working,Boxed
Doro 507,52.336,65.856,10,Red,Working,Boxed
Doro 510,57.04,70.55999999999999,19,White,Working,Boxed
Doro 515,57.04,70.55999999999999,15,White,Working,Boxed
Doro 530X,92.32,105.84,2,Black,Working,Boxed
Doro 624,104.08,117.6,4,Black,Working,Boxed
Doro 624,104.08,117.6,1,Grey,Working,Boxed
Doro 632,92.32,105.84,1,Black,Working,Boxed
Doro 6521,92.32,105.84,1,Grey,Working,Boxed
Doro 6531,122.896,136.416,41,Black,Working,Boxed
Doro 6531,122.896,136.416,18,Red,Working,Boxed
HTC Desire 728G dual sim,245.2,258.71999999999997,2,White,Working,Boxed
