name,retailPrice,customerPrice,qty,color,functional,box
Alcatel Idol Alpha 6032X,174.64,188.16,1,Grey,Working,Boxed
Alcatel One touch 1050D,33.519999999999996,47.04,2,Black,Working,Unboxed
Alcatel One Touch 2050X,38.224000000000004,51.74399999999999,1,Silver,Working,Unboxed
Alcatel One Touch 7048X,115.84,129.35999999999999,1,Red,Working,Boxed
Alcatel One Touch S'Pop 4030D,52.336,65.856,1,White,Working,Boxed
Alcatel Pixi 3 4.5,115.84,129.35999999999999,16,Black,Working,Boxed
Alcatel Pixi 3 4.5,104.08,117.6,2,Black,Working,Unboxed
Apple iPhone 4S 16GB,162.88,176.4,3,Black,Working,Unboxed
Apple iPhone 4S 16GB,162.88,176.4,3,White,Working,Unboxed
Apple iPhone 4S 8GB,115.84,129.35999999999999,1,White,Working,Unboxed
Apple iPhone 5 16GB,209.92,223.43999999999997,1,Black,Working,Unboxed
Apple iPhone 5C 8GB,162.88,176.4,1,Pink,Working,Unboxed
Apple iPhone 5C 8GB,162.88,176.4,1,White,Working,Unboxed
Apple iPhone 5S 16GB,256.96,270.48,1,Gold,Working,Unboxed
Apple iPhone 6 16GB,398.08,411.59999999999997,4,Grey,Working,Unboxed
Apple iPhone 6 64GB,492.15999999999997,505.67999999999995,2,Silver,Working,Unboxed
Apple iPhone 6 64GB,492.15999999999997,505.67999999999995,1,Grey,Working,Unboxed
Apple iPhone 6 64GB,492.15999999999997,505.67999999999995,1,Gold,Working,Unboxed
Apple iPhone 6 Plus 16GB,586.24,599.76,1,Silver,Working,Unboxed
Apple iPhone 6 Plus 16GB,586.24,599.76,2,Grey,Working,Unboxed
Apple iPhone 6 Plus 16GB,586.24,599.76,2,Gold,Working,Unboxed
Apple iPhone 6S 16GB,468.64,482.15999999999997,2,Rose Gold,Working,Unboxed
Apple iPhone 6S 32GB,527.4399999999999,540.96,30,Grey,Working,Unboxed
Apple iPhone 6S 32GB,10.0,23.52,1,Grey,Minor Fault,Unboxed
