name,retailPrice,customerPrice,qty,color,functional,box
Alcatel 2008G,33.519999999999996,47.04,1,Black,Working,Unboxed
Alcatel 2038X,57.04,70.55999999999999,1,Grey,Working,Unboxed
Alcatel 2051D,33.519999999999996,47.04,1,Silver,Working,Unboxed
Alcatel One touch 1050D,26.464,39.984,2,Black,Working,Unboxed
Alcatel One Touch 2045X,26.464,39.984,1,Black,Working,Unboxed
Alcatel One Touch 2050X,28.816,42.336,2,Silver,Working,Unboxed
Alcatel One Touch Idol Ultra,115.84,129.35999999999999,1,Red,Working,Unboxed
Alcatel One Touch M'Pop 5020,80.55999999999999,94.08,1,Purple,Working,Unboxed
Alcatel One Touch X'Pop 5035D,57.04,70.55999999999999,1,Black,Working,Unboxed
Alcatel OT-995,38.224000000000004,51.74399999999999,1,Black,Working,Unboxed
Apple iPhone 4 8GB,68.8,82.32,1,Black,Working,Unboxed
Apple iPhone 4 8GB,68.8,82.32,2,White,Working,Unboxed
Apple iPhone 4S 16GB,139.35999999999999,152.88,1,Black,Working,Unboxed
Apple iPhone 4S 16GB,75.856,89.376,1,White,Minor Fault,Unboxed
Apple iPhone 4S 16GB,75.856,89.376,1,White,Minor Fault,Unboxed
Apple iPhone 4S 64GB,151.11999999999998,164.64,1,White,Working,Unboxed
Apple iPhone 5 16GB,115.84,129.35999999999999,1,Black,Minor Fault,Unboxed
Apple iPhone 5 16GB,115.84,129.35999999999999,1,White,Minor Fault,Unboxed
Apple iPhone 5 16GB,115.84,129.35999999999999,1,White,Minor Fault,Unboxed
Apple iPhone 5 32GB,198.16,211.68,4,White,Working,Unboxed
Apple iPhone 5 64GB,221.68,235.2,1,Black,Working,Unboxed
Apple iPhone 5C 16GB,186.4,199.92,9,Blue,Working,Unboxed
Apple iPhone 5C 16GB,186.4,199.92,9,Pink,Working,Unboxed
Apple iPhone 5C 16GB,186.4,199.92,1,Yellow,Working,Unboxed
Apple iPhone 5C 16GB,186.4,199.92,15,White,Working,Unboxed
Apple iPhone 5C 16GB,115.84,129.35999999999999,2,White,Minor Fault,Unboxed
Apple iPhone 5C 16GB,186.4,199.92,1,Green,Working,Unboxed
Apple iPhone 5C 32GB,233.43999999999997,246.95999999999998,1,White,Working,Unboxed
Apple iPhone 5C 32GB,233.43999999999997,246.95999999999998,1,Green,Working,Unboxed
Apple iPhone 5C 8GB,151.11999999999998,164.64,2,Blue,Working,Unboxed
Apple iPhone 5C 8GB,151.11999999999998,164.64,4,Pink,Working,Unboxed
Apple iPhone 5C 8GB,151.11999999999998,164.64,1,Yellow,Working,Unboxed
Apple iPhone 5C 8GB,151.11999999999998,164.64,8,White,Working,Unboxed
Apple iPhone 5C 8GB,151.11999999999998,164.64,1,Green,Working,Unboxed
Apple iPhone 5S 16GB,151.11999999999998,164.64,1,Silver,Minor Fault,Unboxed
Apple iPhone 5S 16GB,151.11999999999998,164.64,2,Silver,Minor Fault,Unboxed
Apple iPhone 5S 16GB,151.11999999999998,164.64,2,Gold,Minor Fault,Unboxed
Apple iPhone 5S 16GB,151.11999999999998,164.64,2,Gold,Minor Fault,Unboxed
Apple iPhone 5S 32GB,280.48,294.0,2,Silver,Working,Unboxed
Apple iPhone 5S 32GB,280.48,294.0,4,Grey,Working,Unboxed
Apple iPhone 5S 32GB,256.96,270.48,1,Grey,Minor Fault,Unboxed
Apple iPhone 5S 32GB,280.48,294.0,3,Gold,Working,Unboxed
Apple iPhone 5S 32GB,256.96,270.48,1,Gold,Minor Fault,Unboxed
Apple iPhone 5S 64GB,304.0,317.52000000000004,2,Silver,Working,Unboxed
Apple iPhone 5S 64GB,304.0,317.52000000000004,1,Grey,Working,Unboxed
Apple iPhone 5S 64GB,304.0,317.52000000000004,2,Gold,Working,Unboxed
Apple iPhone 6 16GB,351.03999999999996,364.56,6,Silver,Working,Unboxed
Apple iPhone 6 16GB,351.03999999999996,364.56,25,Grey,Working,Unboxed
Apple iPhone 6 16GB,268.71999999999997,282.23999999999995,2,Grey,Minor Fault,Unboxed
Apple iPhone 6 16GB,268.71999999999997,282.23999999999995,1,Grey,Minor Fault,Unboxed
Apple iPhone 6 64GB,381.616,395.13599999999997,43,Grey,Working,Unboxed
Apple iPhone 6 64GB,315.76,329.28,1,Grey,Minor Fault,Unboxed
Apple iPhone 6 Plus 16GB,468.64,482.15999999999997,1,Silver,Working,Unboxed
Apple iPhone 6 Plus 16GB,468.64,482.15999999999997,1,Gold,Working,Unboxed
Apple iPhone 6S 16GB,421.59999999999997,435.11999999999995,1,Rose Gold,Working,Unboxed
Apple iPhone 6S 16GB,304.0,317.52000000000004,1,Rose Gold,Minor Fault,Unboxed
Apple iPhone 6S 16GB,421.59999999999997,435.11999999999995,7,Silver,Working,Unboxed
Apple iPhone 6S 32GB,480.4,493.91999999999996,1,Silver,Working,Unboxed
Apple iPhone 6S 32GB,480.4,493.91999999999996,62,Grey,Working,Unboxed
Apple iPhone 6S 32GB,362.8,376.32,1,Grey,Minor Fault,Unboxed
Apple iPhone 6S 64GB,503.91999999999996,517.4399999999999,4,Grey,Working,Unboxed
Apple iPhone 6S 64GB,386.32,399.84,1,Grey,Minor Fault,Unboxed
Apple iPhone 6S Plus 16GB,574.4799999999999,588.0,3,Grey,Working,Boxed
Apple iPhone 7 128GB,833.1999999999999,846.72,1,Jet Black,Working,Unboxed
Apple iPhone 7 128GB,880.2399999999999,893.7599999999999,1,Black,Working,Boxed
Apple iPhone 7 32GB,774.4,787.92,1,Silver,Working,Unboxed
Apple iPhone 7 Plus 32GB,950.8,964.3199999999999,3,Rose Gold,Working,Unboxed
Apple iPhone 7 Plus 32GB,950.8,964.3199999999999,1,Silver,Working,Unboxed
Apple iPhone 7 Plus 32GB,950.8,964.3199999999999,2,Black,Working,Unboxed
Apple iPhone 7 Plus 32GB,950.8,964.3199999999999,1,Gold,Working,Unboxed
Apple iPhone 8 256GB,1303.6,1317.12,2,Gold,Working,Unboxed
Apple iPhone 8 Plus 256GB,1562.32,1575.84,5,Grey,Working,Unboxed
Apple iPhone SE 128GB,527.4399999999999,540.96,1,Gold,Working,Unboxed
Apple iPhone SE 16GB,313.408,326.928,1,Rose Gold,Working,Unboxed
Apple iPhone SE 16GB,313.408,326.928,1,Grey,Working,Unboxed
Apple iPhone SE 64GB,433.36,446.87999999999994,11,Rose Gold,Working,Unboxed
Apple iPhone X 256GB,2032.7199999999998,2046.24,3,Silver,Working,Boxed
Apple iPhone X 256GB,1985.6799999999998,1999.1999999999998,18,Silver,Working,Unboxed
Apple iPhone X 256GB,2032.7199999999998,2046.24,1,Grey,Working,Boxed
Apple iPhone X 256GB,1985.6799999999998,1999.1999999999998,16,Grey,Working,Unboxed
Asus Padfone 2,115.84,129.35999999999999,1,Black,Working,Boxed
Blackberry Bold 9000,33.519999999999996,47.04,2,Black,Working,Unboxed
Blackberry Bold Touch 9900,75.856,89.376,2,Black,Working,Unboxed
Blackberry Classic Q20,174.64,188.16,1,Black,Working,Unboxed
Blackberry Q10,108.78399999999999,122.304,4,Black,Working,Unboxed
Blackberry Q10,108.78399999999999,122.304,1,White,Working,Unboxed
Blackberry Torch 9800,45.279999999999994,58.8,3,Black,Working,Unboxed
Blackberry Torch 9860,40.576,54.096,1,Black,Working,Unboxed
Blackberry Z10,71.152,84.672,2,Black,Working,Unboxed
CAT B10,115.84,129.35999999999999,1,Black,Working,Unboxed
CAT B100,47.632,61.152,3,Black,Working,Unboxed
CAT B15Q,151.11999999999998,164.64,3,Black,Working,Unboxed
CAT B30,45.279999999999994,58.8,1,Black,Working,Unboxed
CAT S50,233.43999999999997,246.95999999999998,2,Grey,Working,Unboxed
CAT S60,656.8,670.32,10,Black,Working,Boxed
CAT S60,633.28,646.8,14,Black,Working,Unboxed
Doro 1362,24.112000000000002,37.632,2,Black,Working,Unboxed
Doro 1362,24.112000000000002,37.632,1,White,Working,Unboxed
Doro 2414,21.759999999999998,35.279999999999994,1,Grey,Working,Unboxed
Doro 410,21.759999999999998,35.279999999999994,1,Red,Working,Unboxed
Doro 5031,24.112000000000002,37.632,1,Red,Working,Boxed
Doro 5031,21.759999999999998,35.279999999999994,1,Red,Working,Unboxed
Doro 508,40.576,54.096,2,White,Working,Unboxed
Doro 515,28.816,42.336,1,Black,Working,Unboxed
Doro 516,33.519999999999996,47.04,7,Black,Working,Boxed
Doro 516,26.464,39.984,1,Black,Working,Unboxed
Doro 520X,31.168,44.688,13,Black,Working,Unboxed
Doro 520X,31.168,44.688,1,Grey,Working,Unboxed
Doro 520X,31.168,44.688,8,White,Working,Unboxed
Doro 530X,35.872,49.391999999999996,13,Black,Working,Unboxed
Doro 530X,35.872,49.391999999999996,4,Grey,Working,Unboxed
Doro 540X,80.55999999999999,94.08,3,Black,Working,Unboxed
Doro 540X,80.55999999999999,94.08,1,Grey,Working,Unboxed
Doro 5516,38.224000000000004,51.74399999999999,1,Red,Working,Unboxed
Doro 6030,42.928,56.448,8,Red,Working,Unboxed
Doro 6030,42.928,56.448,59,Grey,Working,Unboxed
Doro 605,33.519999999999996,47.04,1,Grey,Working,Unboxed
Doro 607,42.928,56.448,1,Black,Working,Unboxed
Doro 615,35.872,49.391999999999996,6,Purple,Working,Unboxed
Doro 615,35.872,49.391999999999996,8,Black,Working,Unboxed
Doro 615,35.872,49.391999999999996,15,Red,Working,Unboxed
Doro 622,45.279999999999994,58.8,1,Black,Working,Unboxed
Doro 6531,45.279999999999994,58.8,3,Black,Working,Unboxed
Doro 6531,52.336,65.856,1,Red,Working,Boxed
Doro 6531,45.279999999999994,58.8,5,Red,Working,Unboxed
Doro 740,47.632,61.152,6,Black,Working,Unboxed
Doro 8020X,104.08,117.6,14,Black,Working,Unboxed
Doro 8030,115.84,129.35999999999999,2,Black,Working,Boxed
Doro 8030,97.02399999999999,110.544,13,Black,Working,Unboxed
