name,retailPrice,customerPrice,qty,color,functional,box
Apple iPhone 5 32GB,174.64,188.16,2,Black,Working,Unboxed
Apple iPhone 5 32GB,174.64,188.16,2,White,Working,Unboxed
Apple iPhone 5 64GB,198.16,211.68,1,White,Working,Unboxed
Apple iPhone 5C 16GB,162.88,176.4,5,Blue,Working,Unboxed
Apple iPhone 5C 16GB,108.78399999999999,122.304,1,Blue,Minor Fault,Unboxed
Apple iPhone 5C 16GB,162.88,176.4,6,Pink,Working,Unboxed
Apple iPhone 5C 16GB,108.78399999999999,122.304,1,Pink,Minor Fault,Unboxed
Apple iPhone 5C 16GB,108.78399999999999,122.304,1,Pink,Minor Fault,Unboxed
Apple iPhone 5C 16GB,162.88,176.4,17,White,Working,Unboxed
Apple iPhone 5C 16GB,108.78399999999999,122.304,3,White,Minor Fault,Unboxed
Apple iPhone 5C 16GB,162.88,176.4,1,Green,Working,Unboxed
Apple iPhone 5C 32GB,209.92,223.43999999999997,1,Blue,Working,Unboxed
Apple iPhone 5C 32GB,209.92,223.43999999999997,2,White,Working,Unboxed
Apple iPhone 5C 8GB,139.35999999999999,152.88,2,Blue,Working,Unboxed
Apple iPhone 5C 8GB,139.35999999999999,152.88,2,Pink,Working,Unboxed
Apple iPhone 5C 8GB,139.35999999999999,152.88,9,White,Working,Unboxed
Apple iPhone 5C 8GB,139.35999999999999,152.88,1,Green,Working,Unboxed
Apple iPhone 5S 16GB,144.064,157.58399999999997,1,Silver,Minor Fault,Unboxed
Apple iPhone 5S 16GB,144.064,157.58399999999997,1,Silver,Minor Fault,Unboxed
Apple iPhone 5S 16GB,144.064,157.58399999999997,2,Silver,Minor Fault,Unboxed
Apple iPhone 5S 16GB,144.064,157.58399999999997,1,Grey,Minor Fault,Unboxed
Apple iPhone 5S 16GB,144.064,157.58399999999997,2,Grey,Minor Fault,Unboxed
Apple iPhone 5S 32GB,245.2,258.71999999999997,3,Silver,Working,Unboxed
Apple iPhone 5S 32GB,245.2,258.71999999999997,2,Grey,Working,Unboxed
Apple iPhone 5S 32GB,193.456,206.97599999999997,1,Grey,Minor Fault,Unboxed
Apple iPhone 5S 32GB,245.2,258.71999999999997,3,Gold,Working,Unboxed
Apple iPhone 5S 32GB,193.456,206.97599999999997,1,Gold,Minor Fault,Unboxed
Apple iPhone 5S 64GB,280.48,294.0,1,Grey,Working,Unboxed
Apple iPhone 6 128GB,421.59999999999997,435.11999999999995,1,Grey,Working,Unboxed
Apple iPhone 6 16GB,304.0,317.52000000000004,6,Grey,Working,Unboxed
Apple iPhone 6 32GB,362.8,376.32,1,Grey,Working,Unboxed
Apple iPhone 6 64GB,362.8,376.32,23,Grey,Working,Unboxed
Apple iPhone 6S 128GB,527.4399999999999,540.96,1,Grey,Working,Unboxed
Apple iPhone 6S 16GB,292.23999999999995,305.76,1,Grey,Minor Fault,Unboxed
Apple iPhone 6S 32GB,409.84,423.36,17,Grey,Working,Unboxed
Apple iPhone 6S 32GB,351.03999999999996,364.56,1,Grey,Minor Fault,Unboxed
Apple iPhone 6S 32GB,351.03999999999996,364.56,1,Grey,Minor Fault,Unboxed
Apple iPhone 6S 64GB,433.36,446.87999999999994,2,Grey,Working,Unboxed
Apple iPhone 7 128GB,750.88,764.4,2,Rose Gold,Working,Unboxed
Apple iPhone 7 128GB,750.88,764.4,1,Silver,Working,Unboxed
Apple iPhone 7 128GB,750.88,764.4,3,Jet Black,Working,Unboxed
Apple iPhone 7 128GB,750.88,764.4,2,Black,Working,Unboxed
Apple iPhone 7 128GB,750.88,764.4,2,Red,Working,Unboxed
Apple iPhone 7 128GB,750.88,764.4,2,Gold,Working,Unboxed
Apple iPhone 7 32GB,715.6,729.12,1,Silver,Working,Unboxed
Apple iPhone 7 32GB,715.6,729.12,2,Black,Working,Unboxed
Apple iPhone 7 Plus 256GB,974.3199999999999,987.8399999999999,1,Jet Black,Working,Unboxed
Apple iPhone 7 Plus 32GB,856.72,870.2399999999999,2,Rose Gold,Working,Unboxed
Apple iPhone 7 Plus 32GB,856.72,870.2399999999999,5,Black,Working,Unboxed
Apple iPhone 7 Plus 32GB,856.72,870.2399999999999,2,Gold,Working,Unboxed
Apple iPhone 8 Plus 256GB,1515.28,1528.8,1,Gold,Working,Unboxed
Apple iPhone SE 16GB,292.23999999999995,305.76,1,Grey,Working,Unboxed
Apple iPhone SE 64GB,400.432,413.95199999999994,2,Rose Gold,Working,Unboxed
Apple iPhone X 256GB,1950.3999999999999,1963.9199999999998,3,Silver,Working,Unboxed
CAT S60,609.76,623.28,11,Black,Working,Unboxed
CAT S60,515.68,529.1999999999999,1,Black,Minor Fault,Unboxed
Doro 8040,139.35999999999999,152.88,1,Black,Working,Unboxed
Huawei Mate 9 Pro 128gb,656.8,670.32,1,Grey,Working,Unboxed
Huawei Mate 9 Pro 64 gb,633.28,646.8,1,Gold,Working,Unboxed
Huawei Nexus 6P 32GB,292.23999999999995,305.76,1,Grey,Working,Unboxed
Huawei P10 64GB Dual (VTR-L29),456.87999999999994,470.4,1,Blue,Working,Unboxed
Huawei P10 Plus 64GB (VKY-L09),550.96,564.4799999999999,20,Black,Working,Unboxed
Huawei P8,221.68,235.2,2,Silver,Working,Unboxed
Huawei P9 32GB (EVA-L09),280.48,294.0,1,Grey,Working,Unboxed
Samsung Galaxy A3 (2016) A310F,198.16,211.68,2,Black,Working,Unboxed
Samsung Galaxy A5 (2016) A510F,280.48,294.0,2,Black,Working,Unboxed
Samsung Galaxy J5 (2016) J510FN,221.68,235.2,1,Black,Working,Unboxed
