name,retailPrice,customerPrice,qty,color,functional,box
Alcatel 2038X,42.928,56.448,1,Black,Working,Unboxed
Alcatel One touch 1050D,19.408,32.928,1,Black,Working,Unboxed
Apple iPhone 3G S 8GB,45.279999999999994,58.8,1,Black,Working,Unboxed
Apple iPhone 4 32GB,80.55999999999999,94.08,3,Black,Working,Unboxed
Apple iPhone 4 8GB,45.279999999999994,58.8,1,Black,Minor Fault,Unboxed
Apple iPhone 4S 16GB,104.08,117.6,5,Black,Working,Unboxed
Apple iPhone 4S 16GB,104.08,117.6,3,White,Working,Unboxed
Apple iPhone 4S 64GB,127.6,141.11999999999998,2,White,Working,Unboxed
Apple iPhone 4S 8GB,80.55999999999999,94.08,3,Black,Working,Unboxed
Apple iPhone 5 16GB,127.6,141.11999999999998,5,Black,Working,Unboxed
Apple iPhone 5 16GB,104.08,117.6,2,Black,Minor Fault,Unboxed
Apple iPhone 5 16GB,127.6,141.11999999999998,5,White,Working,Unboxed
Apple iPhone 5 16GB,104.08,117.6,1,White,Minor Fault,Unboxed
Apple iPhone 5 32GB,151.11999999999998,164.64,5,Black,Working,Unboxed
Apple iPhone 5 32GB,151.11999999999998,164.64,3,White,Working,Unboxed
Apple iPhone 5C 16GB,139.35999999999999,152.88,5,Blue,Working,Unboxed
Apple iPhone 5C 16GB,104.08,117.6,4,Blue,Minor Fault,Unboxed
Apple iPhone 5C 16GB,104.08,117.6,1,Blue,Minor Fault,Unboxed
Apple iPhone 5C 16GB,139.35999999999999,152.88,6,Pink,Working,Unboxed
Apple iPhone 5C 16GB,139.35999999999999,152.88,4,White,Working,Unboxed
Apple iPhone 5C 16GB,104.08,117.6,2,White,Minor Fault,Unboxed
Apple iPhone 5C 16GB,104.08,117.6,4,White,Minor Fault,Unboxed
Apple iPhone 5C 16GB,104.08,117.6,4,White,Minor Fault,Unboxed
Apple iPhone 5C 16GB,139.35999999999999,152.88,2,Green,Working,Unboxed
Apple iPhone 5C 32GB,181.69599999999997,195.216,1,Blue,Working,Unboxed
Apple iPhone 5C 8GB,127.6,141.11999999999998,6,Blue,Working,Unboxed
Apple iPhone 5C 8GB,127.6,141.11999999999998,2,Pink,Working,Unboxed
Apple iPhone 5C 8GB,104.08,117.6,1,Pink,Minor Fault,Unboxed
Apple iPhone 5C 8GB,104.08,117.6,1,Pink,Minor Fault,Unboxed
Apple iPhone 5C 8GB,127.6,141.11999999999998,7,White,Working,Unboxed
Apple iPhone 5C 8GB,104.08,117.6,1,White,Minor Fault,Unboxed
Apple iPhone 5C 8GB,104.08,117.6,2,White,Minor Fault,Unboxed
Apple iPhone 5C 8GB,104.08,117.6,1,White,Minor Fault,Unboxed
Apple iPhone 5C 8GB,127.6,141.11999999999998,3,Green,Working,Unboxed
Apple iPhone 5S 16GB,174.64,188.16,8,Silver,Working,Unboxed
Apple iPhone 5S 16GB,139.35999999999999,152.88,1,Silver,Minor Fault,Unboxed
