name,price,color,visual,functional,box
Alcatel 2008G,47.04,Black,Grade B,Working,Unboxed
Alcatel 2038X,56.448,Black,Grade C,Working,Unboxed
Alcatel 2038X,70.55999999999999,Grey,Grade B,Working,Unboxed
Alcatel 2051D,47.04,Silver,Grade B,Working,Unboxed
Alcatel Idol 5s 6060X,411.59999999999997,Grey,Brand New,Working,Boxed
Alcatel Idol 5s 6060X,376.32,Grey,Grade A+,Working,Boxed
Alcatel Idol Alpha 6032X,211.68,Grey,Grade A+,Working,Boxed
Alcatel Idol Alpha 6032X,188.16,Grey,Grade A,Working,Boxed
Alcatel Idol Alpha 6032X,235.2,Gold,Brand New,Working,Boxed
Alcatel Idol Alpha 6032X,211.68,Gold,Grade A+,Working,Boxed
Alcatel One touch 1050D,47.04,Black,Grade A,Working,Unboxed
Alcatel One touch 1050D,39.984,Black,Grade B,Working,Unboxed
Alcatel One touch 1050D,32.928,Black,Grade C,Working,Unboxed
Alcatel One Touch 2045X,70.55999999999999,Black,Brand New,Working,Boxed
Alcatel One Touch 2045X,39.984,Black,Grade B,Working,Unboxed
Alcatel One Touch 2050X,51.74399999999999,Silver,Grade A,Working,Unboxed
Alcatel One Touch 2050X,42.336,Silver,Grade B,Working,Unboxed
Alcatel One Touch 5050X,117.6,White,Grade A+,Working,Boxed
Alcatel One Touch 5050X,105.84,White,Grade A+,Working,Unboxed
Alcatel One Touch 5070,82.32,Silver,Grade A+,Working,Boxed
Alcatel One Touch 7045Y,152.88,White,Grade A+,Working,Boxed
Alcatel One Touch 7048X,164.64,Red,Brand New,Working,Boxed
Alcatel One Touch 7048X,141.11999999999998,Red,Grade A+,Working,Boxed
Alcatel One Touch Idol Ultra,211.68,Black,Brand New,Working,Boxed
Alcatel One Touch Idol Ultra,188.16,Black,Grade A+,Working,Boxed
Alcatel One Touch Idol Ultra,129.35999999999999,Red,Grade B,Working,Unboxed
Alcatel One Touch M'Pop 5020,94.08,Purple,Grade B,Working,Unboxed
Alcatel One Touch Pop 4,188.16,Silver,Grade A+,Working,Boxed
Alcatel One Touch Pop 4s,199.92,Black,Grade A+,Working,Boxed
Alcatel One Touch Tribe 3040G,58.8,Black,Grade A+,Working,Boxed
Alcatel One Touch Tribe 3040G,58.8,White,Grade A+,Working,Boxed
Alcatel OT-918,58.8,Black,Brand New,Working,Boxed
Alcatel OT-995,23.52,Black,Grade B,Working,Unboxed
Alcatel Pixi 3 4.5,152.88,Pink,Grade A+,Working,Boxed
Alcatel Pixi 3 4.5,141.11999999999998,Pink,Grade A+,Working,Unboxed
Alcatel Pixi 3 4.5,152.88,Black,Grade A+,Working,Boxed
Alcatel Pixi 3 4.5,129.35999999999999,Black,Grade A,Working,Boxed
Alcatel Pixi 3 4.5,117.6,Black,Grade A,Working,Unboxed
Apple iPhone 4 32GB,94.08,Black,Grade C,Working,Unboxed
Apple iPhone 4S 16GB,176.4,Black,Grade A,Working,Unboxed
Apple iPhone 4S 16GB,89.376,Black,Grade B,Minor Fault,Unboxed
Apple iPhone 4S 16GB,84.672,Black,Grade C,Minor Fault,Unboxed
Apple iPhone 4S 16GB,199.92,White,Swap,Working,Unboxed
Apple iPhone 4S 16GB,176.4,White,Grade A,Working,Unboxed
Apple iPhone 4S 16GB,89.376,White,Grade B,Minor Fault,Unboxed
Apple iPhone 4S 32GB,188.16,White,Grade A+,Working,Unboxed
Apple iPhone 4S 32GB,105.84,White,Grade B,Minor Fault,Unboxed
Apple iPhone 4S 64GB,141.11999999999998,White,Grade C,Working,Unboxed
Apple iPhone 4S 8GB,152.88,Black,Grade A+,Working,Unboxed
Apple iPhone 4S 8GB,70.55999999999999,Black,Grade C,Minor Fault,Unboxed
Apple iPhone 4S 8GB,129.35999999999999,White,Grade A,Working,Unboxed
Apple iPhone 4S 8GB,94.08,White,Grade C,Working,Unboxed
Apple iPhone 5 16GB,294.0,Black,Swap,Working,Unboxed
Apple iPhone 5 16GB,223.43999999999997,Black,Grade A,Working,Unboxed
Apple iPhone 5 16GB,188.16,Black,Grade B,Working,Unboxed
Apple iPhone 5 16GB,294.0,White,Swap,Working,Unboxed
Apple iPhone 5 16GB,246.95999999999998,White,Grade A+,Working,Unboxed
Apple iPhone 5 32GB,317.52000000000004,Black,Swap,Working,Unboxed
Apple iPhone 5 32GB,164.64,Black,Grade C,Working,Unboxed
Apple iPhone 5 32GB,317.52000000000004,White,Swap,Working,Unboxed
Apple iPhone 5 32GB,188.16,White,Grade C+,Working,Unboxed
Apple iPhone 5 32GB,305.76,White,Grade A+,Working,Unboxed
Apple iPhone 5 32GB,211.68,White,Grade B,Working,Unboxed
Apple iPhone 5 64GB,364.56,Black,Swap,Working,Unboxed
Apple iPhone 5 64GB,364.56,White,Swap,Working,Unboxed
Apple iPhone 5 64GB,341.03999999999996,White,Grade A+,Working,Unboxed
Apple iPhone 5C 16GB,246.95999999999998,Blue,Swap,Working,Unboxed
Apple iPhone 5C 16GB,129.35999999999999,Blue,Grade B,Minor Fault,Unboxed
Apple iPhone 5C 16GB,176.4,Pink,Grade C+,Working,Unboxed
Apple iPhone 5C 16GB,199.92,Pink,Grade B,Working,Unboxed
Apple iPhone 5C 16GB,246.95999999999998,Yellow,Swap,Working,Unboxed
Apple iPhone 5C 16GB,246.95999999999998,Yellow,Swap,Working,Unboxed
Apple iPhone 5C 16GB,176.4,Yellow,Grade C+,Working,Unboxed
Apple iPhone 5C 16GB,199.92,Yellow,Grade B,Working,Unboxed
Apple iPhone 5C 16GB,117.6,White,Grade C,Minor Fault,Unboxed
Apple iPhone 5C 32GB,305.76,Blue,Swap,Working,Unboxed
Apple iPhone 5C 32GB,305.76,Pink,Swap,Working,Unboxed
Apple iPhone 5C 32GB,305.76,Yellow,Swap,Working,Unboxed
Apple iPhone 5C 32GB,246.95999999999998,White,Grade B,Working,Unboxed
Apple iPhone 5C 8GB,364.56,Blue,Brand New,Working,Boxed
Apple iPhone 5C 8GB,164.64,Blue,Grade B,Working,Unboxed
Apple iPhone 5C 8GB,117.6,Blue,Grade C,Minor Fault,Unboxed
Apple iPhone 5C 8GB,164.64,Pink,Grade B,Working,Unboxed
Apple iPhone 5C 8GB,124.65599999999999,White,Grade C+,Minor Fault,Unboxed
Apple iPhone 5C 8GB,176.4,White,Grade A,Working,Unboxed
Apple iPhone 5C 8GB,164.64,White,Grade B,Working,Unboxed
Apple iPhone 5C 8GB,129.35999999999999,White,Grade B,Minor Fault,Unboxed
Apple iPhone 5C 8GB,117.6,White,Grade C,Minor Fault,Unboxed
Apple iPhone 5S 16GB,364.56,Silver,Swap,Working,Unboxed
Apple iPhone 5S 16GB,364.56,Silver,Swap,Working,Unboxed
Apple iPhone 5S 16GB,341.03999999999996,Silver,Grade A+,Working,Unboxed
Apple iPhone 5S 16GB,270.48,Silver,Grade A,Working,Unboxed
Apple iPhone 5S 16GB,364.56,Grey,Grade A+,Working,Boxed
Apple iPhone 5S 16GB,341.03999999999996,Grey,Grade A+,Working,Unboxed
Apple iPhone 5S 16GB,270.48,Grey,Grade A,Working,Unboxed
Apple iPhone 5S 16GB,364.56,Gold,Swap,Working,Unboxed
Apple iPhone 5S 16GB,341.03999999999996,Gold,Grade A+,Working,Unboxed
Apple iPhone 5S 32GB,258.71999999999997,Silver,Grade C+,Working,Unboxed
Apple iPhone 5S 32GB,258.71999999999997,Grey,Grade C+,Working,Unboxed
Apple iPhone 5S 32GB,235.2,Grey,Grade C,Working,Unboxed
Apple iPhone 5S 32GB,294.0,Gold,Grade B,Working,Unboxed
Apple iPhone 5S 32GB,235.2,Gold,Grade C,Working,Unboxed
