name,priceInWarehouseBGN,Revenue,customerPrice,emagPrice,qty,color,functional,box
Apple iPhone 4S 16GB,147.0,33.83333333333334,229,249,1,White,,Unboxed
Apple iPhone 5 16GB,225.4,47.099999999999994,339,369,6,Black,,Unboxed
Apple iPhone 5 16GB,225.4,47.099999999999994,339,369,7,White,,Unboxed
Apple iPhone 5 32GB,245.0,52.5,369,399,1,Black,,Unboxed
Apple iPhone 5 32GB,245.0,52.5,369,399,4,White,,Unboxed
Apple iPhone 5 64GB,284.2,54.9666666666667,419,459,1,Black,,Unboxed
Apple iPhone 5 64GB,284.2,54.9666666666667,419,459,6,White,,Unboxed
Apple iPhone 5C 16GB,186.2,44.633333333333354,289,319,1,Blue,,Unboxed
Apple iPhone 5C 16GB,186.2,44.633333333333354,289,319,4,Yellow,,Unboxed
Apple iPhone 5C 16GB,186.2,44.633333333333354,289,319,1,Yellow,,Unboxed
Apple iPhone 5C 32GB,235.2,53.9666666666667,359,389,1,Blue,,Unboxed
Apple iPhone 5C 32GB,235.2,53.9666666666667,359,389,1,Pink,,Unboxed
Apple iPhone 5C 32GB,235.2,53.9666666666667,359,389,2,Yellow,,Unboxed
Apple iPhone 5S 16GB,284.2,54.9666666666667,419,459,8,Silver,,Unboxed
Apple iPhone 5S 16GB,284.2,54.9666666666667,419,459,1,Silver,,Unboxed
Apple iPhone 5S 16GB,284.2,54.9666666666667,419,459,8,Gold,,Unboxed
Apple iPhone 6 16GB,372.4,75.10000000000002,549,599,6,Grey,,Unboxed
Apple iPhone 6 16GB,372.4,75.10000000000002,549,599,8,Gold,,Unboxed
Sony Xperia M4 Aqua,147.0,33.83333333333334,229,249,31,Black,,Unboxed

